"","USAF","WBAN","STNID","STN_NAME","CTRY","STATE","CALL","LAT","LON","ELEV_M","ELEV_M_SRTM_90m","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_CNT","DEWP","DEWP_CNT","SLP","SLP_CNT","STP","STP_CNT","VISIB","VISIB_CNT","WDSP","WDSP_CNT","MXSPD","GUST","MAX","MAX_FLAG","MIN","MIN_FLAG","PRCP","PRCP_FLAG","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"1","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-01,"2010","01","01",1,25.1,8,19.6,8,1012.2,8,NA,0,24.9,8,1.4,8,3,NA,31,NA,19.8,NA,0,"I",NA,0,0,0,0,0,0,2.3,3.2,71.9
"2","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-02,"2010","01","02",2,25.7,8,20.6,8,1012.4,8,NA,0,24.9,8,2,8,4,NA,30.2,NA,20,NA,0,"I",NA,0,0,0,0,0,0,2.4,3.3,72.7
"3","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-03,"2010","01","03",3,24.3,8,20.6,8,1012,8,NA,0,24.9,8,2.6,8,5,NA,29.3,NA,20.6,NA,0,"I",NA,0,0,0,0,0,0,2.4,3,80
"4","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-04,"2010","01","04",4,24.7,8,20.6,8,1010.9,8,NA,0,24.9,8,1.4,8,3,NA,30.5,NA,19.6,NA,0,"I",NA,0,0,0,0,0,0,2.4,3.1,77.4
"5","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-05,"2010","01","05",5,24.9,8,19.2,8,1011.7,8,NA,0,24.3,8,1,8,2,NA,32,NA,19.8,NA,0,"I",NA,0,0,0,0,0,0,2.2,3.1,71
"6","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-06,"2010","01","06",6,25.4,8,20.2,8,1012.4,7,NA,0,24.9,8,1.7,8,3,NA,29.5,NA,20,NA,0,"I",NA,0,0,0,0,0,0,2.4,3.2,75
"7","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-07,"2010","01","07",7,24.7,8,19.4,8,1012.2,8,NA,0,24.9,8,2.9,8,5,NA,30.5,NA,20.6,"*",0,"I",NA,0,0,0,0,0,0,2.3,3.1,74.2
"8","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-08,"2010","01","08",8,24.4,8,19.1,8,1012.5,8,NA,0,24.9,8,3.1,8,4,NA,30.9,NA,19.4,NA,0,"I",NA,0,0,0,0,0,0,2.2,3.1,71
"9","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-09,"2010","01","09",9,24.9,8,19.2,8,1011.9,8,NA,0,24.3,8,3,8,5,NA,30.2,NA,20,NA,0,"I",NA,0,0,0,0,0,0,2.2,3.1,71
"10","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-10,"2010","01","10",10,25.3,8,19.6,8,1011.9,8,NA,0,24.3,8,1.6,8,4,NA,30.7,NA,20.5,NA,0,"I",NA,0,0,0,0,0,0,2.3,3.2,71.9
"11","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-11,"2010","01","11",11,26.3,8,21.9,8,1012.2,8,NA,0,24.9,8,1.4,8,3,NA,31,NA,21.2,NA,0,"I",NA,0,0,0,0,0,0,2.6,3.4,76.5
"12","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-12,"2010","01","12",12,23.1,8,17.9,8,1014.7,7,NA,0,23.8,8,3.1,8,5,NA,27,NA,20,NA,0,"I",NA,0,0,0,0,0,0,2.1,2.8,75
"13","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-13,"2010","01","13",13,23.3,8,16.7,8,1016.4,8,NA,0,24.3,8,3.6,8,5,NA,28.3,NA,19,NA,0,"I",NA,0,0,0,0,0,0,1.9,2.9,65.5
"14","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-14,"2010","01","14",14,23.5,8,15.9,8,1016.4,8,NA,0,24.3,8,3.4,8,5,NA,28,NA,20,NA,0,"I",NA,0,0,0,0,0,0,1.8,2.9,62.1
"15","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-15,"2010","01","15",15,25.2,8,17.4,8,1015.7,8,NA,0,24.9,8,3.8,8,5,NA,30.6,NA,20.2,NA,0,"I",NA,0,0,0,0,0,0,2,3.2,62.5
"16","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-16,"2010","01","16",16,24.7,8,18.3,8,1015.4,8,NA,0,24.9,8,3.6,8,5,NA,31.8,NA,20.9,NA,0,"I",NA,0,0,0,0,0,0,2.1,3.1,67.7
"17","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-17,"2010","01","17",17,27,8,18.6,8,1014.4,8,NA,0,24.9,8,3,8,4,NA,32.4,NA,21,NA,0,"I",NA,0,0,0,0,0,0,2.1,3.6,58.3
"18","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-18,"2010","01","18",18,28.6,7,21.4,7,1014,7,NA,0,24.9,7,1.4,7,2,NA,32.5,NA,22,NA,0,"I",NA,0,0,0,0,0,0,2.5,3.9,64.1
"19","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-19,"2010","01","19",19,28.2,8,22,8,1014.2,8,NA,0,24.9,8,1.1,8,2,NA,32,NA,24,NA,0,"I",NA,0,0,0,0,0,0,2.6,3.8,68.4
"20","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-20,"2010","01","20",20,26.5,8,22,8,1015.7,8,NA,0,24.9,8,1.1,8,2,NA,31,NA,23,NA,0,"I",NA,0,0,0,0,0,0,2.6,3.5,74.3
"21","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-21,"2010","01","21",21,25.2,8,21.6,8,1014.6,8,NA,0,24.9,8,2.1,8,5,NA,30.8,NA,21.5,"*",0,"I",NA,0,0,0,0,0,0,2.6,3.2,81.2
"22","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-22,"2010","01","22",22,25.6,8,17.4,8,1015,8,NA,0,24.9,8,1.7,8,4,NA,31.4,NA,21.5,"*",0,"I",NA,0,0,0,0,0,0,2,3.3,60.6
"23","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-23,"2010","01","23",23,25.2,8,18.4,8,1014.9,8,NA,0,24.9,8,1.9,8,4,NA,30.7,NA,21,"*",0,"I",NA,0,0,0,0,0,0,2.1,3.2,65.6
"24","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-24,"2010","01","24",24,24.8,8,19,8,1014.8,8,NA,0,24.9,8,1.5,8,4,NA,30,NA,20.5,NA,0,"I",NA,0,0,0,0,0,0,2.2,3.1,71
"25","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-25,"2010","01","25",25,25.3,8,20.6,8,1014.8,8,NA,0,24.9,8,1.5,8,2,NA,30.5,NA,20.2,NA,0,"I",NA,0,0,0,0,0,0,2.4,3.2,75
"26","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-26,"2010","01","26",26,27.6,8,17.9,8,1015,8,NA,0,24.9,8,1.9,8,4,NA,32.2,NA,21.5,NA,0,"I",NA,0,0,0,0,0,0,2.1,3.7,56.8
"27","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-27,"2010","01","27",27,25,8,20.8,8,1015.1,8,NA,0,24.9,8,1.2,8,3,NA,29,NA,20.5,NA,0,"I",NA,0,0,0,0,0,0,2.5,3.2,78.1
"28","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-28,"2010","01","28",28,24.9,8,20.3,8,1014.7,8,NA,0,24.9,8,2,8,4,NA,30.8,NA,20,NA,0,"I",NA,0,0,0,0,0,0,2.4,3.1,77.4
"29","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-29,"2010","01","29",29,25.2,8,18.5,8,1014.2,8,NA,0,24.9,8,1.4,8,3,NA,30.6,NA,21,NA,0,"I",NA,0,0,0,0,0,0,2.1,3.2,65.6
"30","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-30,"2010","01","30",30,25.1,8,19.8,8,1014.5,8,NA,0,24.9,8,2.1,8,4,NA,29.8,NA,20,NA,0,"I",NA,0,0,0,0,0,0,2.3,3.2,71.9
"31","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-01-31,"2010","01","31",31,25.7,8,20.1,8,1014.5,8,NA,0,24.9,8,1.9,8,3,NA,31.8,NA,20.9,NA,0,"I",NA,0,0,0,0,0,0,2.4,3.3,72.7
"32","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-02-01,"2010","02","01",32,25.4,8,20.6,8,1013.5,8,NA,0,24.9,8,1.6,8,4,NA,31.5,NA,20.8,NA,0,"I",NA,0,0,0,0,0,0,2.4,3.2,75
"33","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-02-02,"2010","02","02",33,26.8,8,21.8,8,1012.8,8,NA,0,24.3,8,1.4,8,2,NA,32,NA,22,NA,0,"I",NA,0,0,0,0,0,0,2.6,3.5,74.3
"34","982220","99999","982220-99999","VIGAN","RP",NA,"RPUQ",17.555,120.356,4.9,5,19490101,20180812,2010-02-03,"2010","02","03",34,26.3,8,22.2,8,1013.4,8,NA,0,24.9,8,1,8,2,NA,29.5,NA,21,NA,0,"I",NA,0,0,0,0,0,0,2.7,3.4,79.4
