Latitude,Longitude,Distance
83.62,-35.98,0.471219
83.62,-35.94,0.1048
83.62,-35.9,0.461048
83.62,-34.98,0.326136
83.62,-34.94,0.120037
83.62,-34.9,0.085729
83.62,-34.86,0.291201
83.62,-34.82,0.496359
83.62,-33.62,0.449698
83.62,-33.58,0.322188
83.62,-33.54,0.194332
83.62,-33.5,0.0497553
83.62,-33.46,0.389059
83.62,-33.18,0.455001
83.62,-33.14,0.192189
83.62,-33.1,0.221431
83.58,-36.26,0.250664
83.58,-36.22,0.131548
83.58,-35.82,0.235665
83.58,-35.78,0.229878
83.58,-35.7,0.156855
83.58,-35.66,0.337922
83.58,-35.58,0.212266
83.58,-35.54,0.263585
83.58,-35.38,0.273237
83.58,-35.34,0.137569
83.58,-32.7,0.32471
83.58,-32.66,0.021084
83.58,-32.62,0.105895
83.58,-32.58,0.037612
83.58,-32.54,0.1808
83.58,-32.5,0.323657
83.58,-32.46,0.466181
83.58,-31.3,0.397542
83.58,-31.26,0.175307
83.58,-31.22,0.0472487
83.58,-31.18,0.270104
83.58,-31.14,0.493281
83.54,-37.98,0.0706937
83.54,-37.94,0.431703
83.54,-35.46,0.136805
83.54,-35.42,0.342315
83.54,-35.22,0.210954
83.54,-35.18,0.244946
83.54,-30.62,0.0579102
83.54,-30.58,0.437818
83.5,-39.14,0.395103
83.5,-39.1,0.072067
83.5,-38.66,0.104236
83.5,-38.62,0.293931
83.5,-38.02,0.457511
83.5,-37.98,0.150977
83.5,-37.94,0.155835
83.5,-37.9,0.462897
83.5,-35.22,0.1256
83.5,-35.18,0.370647
83.5,-35.14,0.365109
83.5,-35.1,0.134789
83.5,-30.58,0.477412
83.5,-30.54,0.130357
83.5,-30.5,0.216969
83.5,-30.34,0.320151
83.5,-30.3,0.137683
83.5,-29.78,0.377369
83.5,-29.74,0.108981
83.46,-40.1,0.358319
83.46,-40.06,0.2154
83.46,-40.02,0.0728061
83.46,-39.98,0.0349533
83.46,-39.94,0.346872
83.46,-39.18,0.116771
83.46,-39.14,0.358983
83.46,-38.18,0.122073
83.46,-38.14,0.309265
83.46,-37.74,0.171367
83.46,-37.7,0.331671
83.46,-30.1,0.154755
83.46,-30.06,0.261505
83.46,-29.62,0.342701
83.46,-29.58,0.141813
83.46,-28.42,0.433463
83.46,-28.38,0.263524
83.46,-28.34,0.0932608
83.46,-28.3,0.0773433
83.46,-28.26,0.248272
83.46,-28.22,0.41954
83.42,-39.98,0.296979
83.42,-39.94,0.168502
83.42,-39.58,0.344871
83.42,-39.54,0.0282552
83.42,-39.5,0.28864
83.42,-39.06,0.266788
83.42,-39.02,0.21224
83.42,-37.98,0.32174
83.42,-37.94,0.113163
83.42,-37.78,0.267089
83.42,-37.74,0.109318
83.42,-37.7,0.486002
83.42,-29.86,0.22656
83.42,-29.82,0.192008
83.42,-29.78,0.353311
83.42,-29.74,0.220937
83.42,-29.7,0.0889136
83.42,-29.66,0.0427735
83.42,-29.62,0.174111
83.42,-29.58,0.305112
83.42,-29.54,0.435763
83.42,-27.7,0.29341
83.42,-27.66,0.0187481
83.42,-27.62,0.331172
83.38,-40.86,0.482338
83.38,-40.66,0.379944
83.38,-40.62,0.11184
83.38,-40.26,0.106908
83.38,-40.22,0.407924
83.38,-39.94,0.295294
83.38,-39.9,0.211248
83.38,-39.22,0.3014
83.38,-39.18,0.202307
83.38,-38.98,0.395885
83.38,-38.94,0.0857048
83.38,-37.74,0.325423
