longitude	latitude	p1901_1930	p1911_1940	p1921_1950	p1931_1960	p1941_1970	p1951_1980	p1961_1990	p1971_2000	p1981_2010
-179.75	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	68.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.75	66.25	Dfc	Dfc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc	Dfc
-179.75	65.75	Dfc	Dfc	Dsc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc
-179.75	65.25	Dfc	Dsc	Dsc	Dsc	Dfc	Dfc	Dfc	Dfc	Dfc
-179.75	-16.75	Af	Af	Af	Af	Af	Af	Af	Af	Af
-179.75	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.75	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	68.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	67.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	66.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
-179.25	-84.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-85.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-85.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-86.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-86.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-87.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-87.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-88.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-88.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-89.25	EF	EF	EF	EF	EF	EF	EF	EF	EF
-179.25	-89.75	EF	EF	EF	EF	EF	EF	EF	EF	EF
-178.75	71.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.75	68.25	ET	ET	ET	ET	ET	ET	ET	ET	ET
-178.75	67.75	ET	ET	ET	ET	ET	ET	ET	ET	ET
