Latitude,Longitude,Elevation
70.56,-8.4,9
59.48,5.21,49
61.27,5.52,150
77,15.3,12
78.55,11.56,8
78.15,15.28,29
69.18,16.09,14
69.36,17.5,14
69.17,17.46,50
69.03,18.33,79
69.41,18.55,10
74.31,19.01,14
69.01,19.17,78
70.15,19.3,24
70.19,20.09,37
69.15,19.59,37
69.45,21.02,4
70.2,21.28,11
70.29,22.09,10
69.5,21.53,6
69.47,20.58,6
69.01,23.04,330
69.59,23.22,3
69.35,23.32,374
70.4,23.4,81
71.06,24,14
69.22,24.26,286
70.04,24.59,8
76.3,25.04,10
69.28,25.3,133
71.04,26.14,33
71.01,25.59,14
71.02,27.5,13
70.24,28.12,11
71.05,28.14,10
70.52,29.02,13
69.1,29.15,54
70.04,29.51,39
70.38,29.44,10
69.44,29.54,91
70.42,30.05,9
70.21,31.03,12
70.22,31.06,15
65.12,11,16
65.06,11.42,47
67.3,12.05,11
67.31,12.06,4
65.42,11.51,2
65.28,12.13,9
60.25,8.31,798
66.46,12.29,21
65.58,12.28,17
66.24,12.37,10
65.48,13.08,70
65.11,13.25,339
66.56,13.27,12
67.18,13.3,14
68.09,13.37,26
65.31,14.01,265
66.16,13.59,39
66.22,14.18,70
67.16,14.22,13
68.35,14.18,50
68.38,14.28,13
68.09,14.39,11
68.15,14.4,9
68.35,15.01,3
68.42,15.25,3
66.51,15.19,81
68,15.37,53
68.31,16.41,26
68.29,16.53,19
68.17,17.19,6
68.28,17.3,23
68.54,17.49,20
68.45,23.32,382
62.02,4.59,40
62.2,5.16,41
62.11,6.04,74
62.34,6.07,22
62.52,6.32,15
62.45,7.16,3
62.14,7.25,17
63.07,7.5,62
63.28,7.45,13
62.51,8.18,69
63.51,8.27,28
62.14,8.22,621
63.12,9,47
62.07,9.17,974
64.1,9.25,16
63.42,9.36,7
62.36,9.41,630
62.49,10.01,475
64.24,10.27,21
64.48,10.33,33
63.28,10.56,17
63.13,11.07,242
63.48,11.34,52
64.15,11.12,87
64.51,11.14,14
64.51,11.14,14
62.34,11.23,630
62.35,11.21,626
64.28,11.35,2
63.27,11.42,145
64.35,12.32,118
64.27,13.43,438
61.34,4.41,26
60.45,4.43,23
61.35,5.02,9
60.18,5.13,50
60.23,5.2,36
61.02,5.23,38
61.5,6.07,60
61.27,5.54,12
60.5,5.57,114
60.24,5.55,408
60.13,5.59,6
60.39,6.3,122
61.1,6.39,54
60.28,6.52,119
60.41,6.45,560
61.09,7.08,497
60.36,7.3,1224
61.04,7.31,36
61.3,7.42,30
61.54,7.52,711
60.31,8.13,810
58.16,7.2,340
60.59,9.14,365
61,9.18,822
61.31,9.23,865
60.34,9.08,167
60.56,10.02,542
61.02,2.02,10
61.06,10.29,242
61.53,10.09,739
61.39,10.07,940
61.24,11.09,255
60.12,11.05,204
61.1,11.27,240
60.37,12.01,188
61.53,12.03,674
56.32,3.13,46
59.18,4.53,56
56.33,3.15,3
59.55,5.04,16
59.21,5.13,24
58.39,5.33,26
58.53,5.38,9
59.29,5.45,65
59.11,6.04,1
59.39,6.22,5
58.33,6.21,200
58.07,6.34,14
58.06,6.38,10
58.53,6.51,500
59.5,6.59,1082
59.49,7.13,1019
57.59,7.03,23
61.12,8.14,864
58.4,7.48,211
59.38,8.16,804
58.04,8.03,8
59.5,8.11,977
58.12,8.05,17
59.02,8.31,255
58.39,8.38,161
58.24,8.48,15
58.38,9.09,7
59.23,9.11,25
59.34,9.13,19
59.54,9.32,294
59.11,9.34,14
58.52,9.36,12
59.4,9.39,169
59.02,10.32,8
59.12,10.16,88
59.19,10.27,15
59.54,10.37,17
59.59,10.41,529
59.23,10.47,53
59.48,11.28,135
59,11.32,157
59.58,12.13,153
67.44,17.28,523
68.25,18.1,517
68.13,19.43,393
67.56,21.04,341
67.49,20.2,452
67.5,20.26,341
67.09,20.5,310
68.41,21.32,403
67.46,22.21,317
67.13,23.24,168
65.49,15.06,475
65.04,14.48,593
66.34,16.21,500
66.57,17.45,337
66.02,17.52,430
65.01,17.41,281
59.25,17.53,17
66.38,19.39,264
65.59,18.56,374
65.52,20.08,182
66.23,21.38,263
65.33,22.08,34
65.33,22.08,34
65.5,24.09,6
65.44,23.06,8
63.59,12.52,425
63.18,12.07,644
64.3,14.08,330
63.11,14.3,370
64.26,15.38,346
63.52,15.35,373
63.1,16.1,223
64.27,17.05,353
63.03,17.46,19
64.35,18.39,234
63.24,18.58,103
63.11,19.01,13
