Latitude,Longitude,Elevation,Koppen
70.56,-8.4,9,ET
59.48,5.21,49,Cfb
61.27,5.52,150,Cfc
77.0,15.3,12,ET
78.55,11.56,8,ET
78.15,15.28,29,ET
69.18,16.09,14,Dfc
69.36,17.5,14,ET
69.17,17.46,50,ET
69.03,18.33,79,Dfc
69.41,18.55,10,Dfc
74.31,19.01,14,ET
69.01,19.17,78,ET
70.15,19.3,24,Dfc
70.19,20.09,37,Dfc
69.15,19.59,37,Dfc
69.45,21.02,4,ET
70.2,21.28,11,Dfc
70.29,22.09,10,Dfc
69.5,21.53,6,Dfc
69.47,20.58,6,ET
69.01,23.04,330,Dfc
69.59,23.22,3,Dfc
69.35,23.32,374,Dfc
70.4,23.4,81,ET
71.06,24.0,14,ET
69.22,24.26,286,Dfc
70.04,24.59,8,Dfc
76.3,25.04,10,ET
69.28,25.3,133,Dfc
71.04,26.14,33,ET
71.01,25.59,14,ET
71.02,27.5,13,ET
70.24,28.12,11,Dfc
71.05,28.14,10,ET
70.52,29.02,13,Dfc
69.1,29.15,54,Dfc
70.04,29.51,39,ET
70.38,29.44,10,ET
69.44,29.54,91,Dfc
70.42,30.05,9,ET
70.21,31.03,12,ET
70.22,31.06,15,ET
65.12,11.0,16,Cfb
65.06,11.42,47,Cfb
67.3,12.05,11,Cfc
67.31,12.06,4,Cfc
65.42,11.51,2,Cfc
65.28,12.13,9,Dfc
60.25,8.31,798,ET
66.46,12.29,21,Cfc
65.58,12.28,17,Dfc
66.24,12.37,10,Cfc
65.48,13.08,70,Dfc
65.11,13.25,339,Dfc
66.56,13.27,12,Dfc
67.18,13.3,14,Cfc
68.09,13.37,26,Cfc
65.31,14.01,265,ET
66.16,13.59,39,Dfc
66.22,14.18,70,Dfc
67.16,14.22,13,Dfc
68.35,14.18,50,Cfc
68.38,14.28,13,Cfc
68.09,14.39,11,Cfc
68.15,14.4,9,Cfc
68.35,15.01,3,Cfc
68.42,15.25,3,Cfc
66.51,15.19,81,ET
68.0,15.37,53,Cfc
68.31,16.41,26,Dfc
68.29,16.53,19,Dfc
68.17,17.19,6,ET
68.28,17.3,23,ET
68.54,17.49,20,Dfc
68.45,23.32,382,Dfc
62.02,4.59,40,Cfc
62.2,5.16,41,Cfc
62.11,6.04,74,Cfc
62.34,6.07,22,Cfc
62.52,6.32,15,Cfc
62.45,7.16,3,Cfc
62.14,7.25,17,Cfc
63.07,7.5,62,Cfb
63.28,7.45,13,Cfb
62.51,8.18,69,Dfc
63.51,8.27,28,Cfb
62.14,8.22,621,Dfc
63.12,9.0,47,Dfc
62.07,9.17,974,ET
64.1,9.25,16,Cfb
63.42,9.36,7,Dfc
62.36,9.41,630,ET
62.49,10.01,475,Dfc
64.24,10.27,21,Cfc
64.48,10.33,33,Cfc
63.28,10.56,17,Dfc
63.13,11.07,242,Dfc
63.48,11.34,52,Dfc
64.15,11.12,87,Cfc
64.51,11.14,14,Cfb
64.51,11.14,14,Cfb
62.34,11.23,630,ET
62.35,11.21,626,ET
64.28,11.35,2,Cfc
63.27,11.42,145,Dfc
64.35,12.32,118,Dfc
64.27,13.43,438,Dfc
61.34,4.41,26,Cfb
60.45,4.43,23,Cfb
61.35,5.02,9,Cfb
