Latitude,Longitude,Elevation
7056N,00840W,9
5948N,00521E,49
6127N,00552E,150
7700N,01530E,12
7855N,01156E,8
7815N,01528E,29
6918N,01609E,14
6936N,01750E,14
6917N,01746E,50
6903N,01833E,79
6941N,01855E,10
7431N,01901E,14
6901N,01917E,78
7015N,01930E,24
7019N,02009E,37
6915N,01959E,37
6945N,02102E,4
7020N,02128E,11
7029N,02209E,10
6950N,02153E,6
6947N,02058E,6
6901N,02304E,330
6959N,02322E,3
6935N,02332E,374
7040N,02340E,81
7106N,02400E,14
6922N,02426E,286
7004N,02459E,8
7630N,02504E,10
6928N,02530E,133
7104N,02614E,33
7101N,02559E,14
7102N,02750E,13
7024N,02812E,11
7105N,02814E,10
7052N,02902E,13
6910N,02915E,54
7004N,02951E,39
7038N,02944E,10
6944N,02954E,91
7042N,03005E,9
7021N,03103E,12
7022N,03106E,15
6512N,01100E,16
6506N,01142E,47
6730N,01205E,11
6731N,01206E,4
6542N,01151E,2
6528N,01213E,9
6025N,00831E,798
6646N,01229E,21
6558N,01228E,17
6624N,01237E,10
6548N,01308E,70
6511N,01325E,339
6656N,01327E,12
6718N,01330E,14
6809N,01337E,26
6531N,01401E,265
6616N,01359E,39
6622N,01418E,70
6716N,01422E,13
6835N,01418E,50
6838N,01428E,13
6809N,01439E,11
6815N,01440E,9
6835N,01501E,3
6842N,01525E,3
6651N,01519E,81
6800N,01537E,53
6831N,01641E,26
6829N,01653E,19
6817N,01719E,6
6828N,01730E,23
6854N,01749E,20
6845N,02332E,382
6202N,00459E,40
6220N,00516E,41
6211N,00604E,74
6234N,00607E,22
6252N,00632E,15
6245N,00716E,3
6214N,00725E,17
6307N,00750E,62
6328N,00745E,13
6251N,00818E,69
6351N,00827E,28
6214N,00822E,621
6312N,00900E,47
6207N,00917E,974
6410N,00925E,16
6342N,00936E,7
6236N,00941E,630
6249N,01001E,475
6424N,01027E,21
6448N,01033E,33
6328N,01056E,17
6313N,01107E,242
6348N,01134E,52
6415N,01112E,87
6451N,01114E,14
6451N,01114E,14
6234N,01123E,630
6235N,01121E,626
6428N,01135E,2
6327N,01142E,145
6435N,01232E,118
6427N,01343E,438
6134N,00441E,26
6045N,00443E,23
6135N,00502E,9
6018N,00513E,50
6023N,00520E,36
6102N,00523E,38
6150N,00607E,60
6127N,00554E,12
6050N,00557E,114
6024N,00555E,408
