"Latitude","Longitude","Elevation"
7056,-840,9
5948,521,49
6127,552,150
7700,1530,12
7855,1156,8
7815,1528,29
6918,1609,14
6936,1750,14
6917,1746,50
6903,1833,79
6941,1855,10
7431,1901,14
6901,1917,78
7015,1930,24
7019,2009,37
6915,1959,37
6945,2102,4
7020,2128,11
7029,2209,10
6950,2153,6
6947,2058,6
6901,2304,330
6959,2322,3
6935,2332,374
7040,2340,81
7106,2400,14
6922,2426,286
7004,2459,8
7630,2504,10
6928,2530,133
7104,2614,33
7101,2559,14
7102,2750,13
7024,2812,11
7105,2814,10
7052,2902,13
6910,2915,54
7004,2951,39
7038,2944,10
6944,2954,91
7042,3005,9
7021,3103,12
7022,3106,15
6512,1100,16
6506,1142,47
6730,1205,11
6731,1206,4
6542,1151,2
6528,1213,9
6025,831,798
6646,1229,21
6558,1228,17
6624,1237,10
6548,1308,70
6511,1325,339
6656,1327,12
6718,1330,14
6809,1337,26
6531,1401,265
6616,1359,39
6622,1418,70
6716,1422,13
6835,1418,50
6838,1428,13
6809,1439,11
6815,1440,9
6835,1501,3
6842,1525,3
6651,1519,81
6800,1537,53
6831,1641,26
6829,1653,19
6817,1719,6
6828,1730,23
6854,1749,20
6845,2332,382
6202,459,40
6220,516,41
6211,604,74
6234,607,22
6252,632,15
6245,716,3
6214,725,17
6307,750,62
6328,745,13
6251,818,69
6351,827,28
6214,822,621
6312,900,47
6207,917,974
6410,925,16
6342,936,7
6236,941,630
6249,1001,475
6424,1027,21
6448,1033,33
6328,1056,17
6313,1107,242
6348,1134,52
6415,1112,87
6451,1114,14
6451,1114,14
6234,1123,630
6235,1121,626
6428,1135,2
6327,1142,145
6435,1232,118
6427,1343,438
6134,441,26
6045,443,23
6135,502,9
6018,513,50
6023,520,36
6102,523,38
6150,607,60
6127,554,12
6050,557,114
6024,555,408
6013,559,6
6039,630,122
6110,639,54
6028,652,119
6041,645,560
6109,708,497
6036,730,1224
6104,731,36
6130,742,30
6154,752,711
6031,813,810
5816,720,340
6059,914,365
6100,918,822
6131,923,865
6034,908,167
6056,1002,542
6102,202,10
6106,1029,242
6153,1009,739
6139,1007,940
6124,1109,255
6012,1105,204
6110,1127,240
6037,1201,188
6153,1203,674
5632,313,46
5918,453,56
5633,315,3
5955,504,16
5921,513,24
5839,533,26
5853,538,9
5929,545,65
5911,604,1
5939,622,5
5833,621,200
5807,634,14
5806,638,10
5853,651,500
5950,659,1082
5949,713,1019
5759,703,23
6112,814,864
5840,748,211
5938,816,804
5804,803,8
5950,811,977
5812,805,17
5902,831,255
5839,838,161
5824,848,15
5838,909,7
5923,911,25
5934,913,19
5954,932,294
5911,934,14
5852,936,12
5940,939,169
5902,1032,8
5912,1016,88
5919,1027,15
5954,1037,17
5959,1041,529
5923,1047,53
5948,1128,135
5900,1132,157
5958,1213,153
6744,1728,523
6825,1810,517
6813,1943,393
6756,2104,341
6749,2020,452
6750,2026,341
6709,2050,310
6841,2132,403
6746,2221,317
6713,2324,168
6549,1506,475
6504,1448,593
6634,1621,500
6657,1745,337
6602,1752,430
6501,1741,281
5925,1753,17
6638,1939,264
6559,1856,374
6552,2008,182
6623,2138,263
6533,2208,34
6533,2208,34
6550,2409,6
6544,2306,8
6359,1252,425
6318,1207,644
6430,1408,330
6311,1430,370
6426,1538,346
6352,1535,373
6310,1610,223
6427,1705,353
6303,1746,19
6435,1839,234
6324,1858,103
